,gene_id,gene_name
6583,ENSG00000069849,ATP1B3
6647,ENSG00000114744,COMMD2
6660,ENSG00000144895,EIF2A
6661,ENSG00000198843,SELT
6664,ENSG00000181788,SIAH2
6673,ENSG00000174946,GPR171
6686,ENSG00000152601,MBNL1
6701,ENSG00000174953,DHX36
6722,ENSG00000114850,SSR3
6730,ENSG00000163660,CCNL1
6760,ENSG00000113810,SMC4
6789,ENSG00000114209,PDCD10
6816,ENSG00000008952,SEC62
6828,ENSG00000163584,RPL22L1
6841,ENSG00000121858,TNFSF10
6888,ENSG00000136521,NDUFB5
6896,ENSG00000163728,TTC14
6899,ENSG00000114416,FXR1
6900,ENSG00000205981,DNAJC19
6926,ENSG00000175193,PARL
6938,ENSG00000161204,ABCF3
6943,ENSG00000175166,PSMD2
6958,ENSG00000156931,VPS8
6968,ENSG00000136527,TRA2B
7029,ENSG00000152492,CCDC50
7075,ENSG00000184203,PPP1R2
7084,ENSG00000061938,TNK2
7113,ENSG00000114503,NCBP2
7149,ENSG00000169020,ATP5I
7171,ENSG00000159692,CTBP1
7173,ENSG00000090316,MAEA
7183,ENSG00000013810,TACC3
7188,ENSG00000243449,C4orf48
7193,ENSG00000123933,MXD4
7198,ENSG00000063978,RNF4
7222,ENSG00000132406,TMEM128
7223,ENSG00000145220,LYAR
7245,ENSG00000179010,MRFAP1
7252,ENSG00000186222,BLOC1S4
7258,ENSG00000109519,GRPEL1
7308,ENSG00000071127,WDR1
7339,ENSG00000118564,FBXL5
7340,ENSG00000237765,FAM200B
7341,ENSG00000109743,BST1
7344,ENSG00000137441,FGFBP2
7355,ENSG00000002549,LAP3
7357,ENSG00000118579,MED28
7464,ENSG00000163683,SMIM14
7469,ENSG00000168421,RHOH
7515,ENSG00000169019,COMMD8
7523,ENSG00000074966,TXK
7529,ENSG00000109180,OCIAD1
7531,ENSG00000145247,OCIAD2
7567,ENSG00000134851,TMEM165
7586,ENSG00000171476,HOPX
7588,ENSG00000084093,REST
7592,ENSG00000163453,IGFBP7
7674,ENSG00000156136,DCK
7723,ENSG00000138757,G3BP2
