,mean,var,cv2,highly_variable
574,0.24792045854095546,0.36900323055866946,6.003415050656383,True
583,0.3515291817962327,0.5785352089403739,4.681699273927626,True
588,0.4964058109825311,0.6227715786955963,2.527279697834992,True
592,0.466330386156516,1.0703261101831567,4.921830948381425,True
594,0.703006206186503,0.9342985483852928,1.8904555804000092,True
597,0.31311197756474574,0.5830345313977859,5.946897942658471,True
601,0.2312501384446776,0.31153867324568474,5.825589007151258,True
607,0.33940151682041186,0.5351546229791644,4.645665685147814,True
610,0.27593762911218866,0.4662305404639304,6.123125458836777,True
619,0.2668963906413251,0.42697098504437303,5.993863733797234,True
644,1.8617907806040683,1.6130024171219075,0.4653429536733033,False
651,0.1831152180957767,0.2912153132934775,8.684651173473858,True
652,0.19469567583571323,0.32925805100930905,8.68585018364476,True
671,0.500273077153557,0.6355137492104974,2.5392704153866728,True
674,0.3404526710330835,0.5437713468062063,4.691363460004671,True
684,0.6082595664242069,0.5577364641219592,1.5074744815094885,False
686,0.24231068323112448,0.47706480405292867,8.125027811895906,True
688,0.3572541131136839,0.5822501316250945,4.561962568232535,True
696,0.17391594209846828,0.27495707120535995,9.090164607884255,True
709,0.21858964612703705,0.42015617604798716,8.793109647304915,True
723,0.32695973542678697,0.631947180678286,5.9113703861731075,True
735,0.3839390057586061,0.548673838670984,3.722089699509663,True
742,0.23498917403319108,0.34732809462048597,6.289792808364833,True
754,0.32106223878202567,0.5202251607654129,5.046713846458146,True
761,0.6277852679929979,1.011717897481391,2.56706042075683,True
763,0.31465680969396015,0.6073989839264831,6.134729310333776,True
770,0.47728277132377195,0.679898042799018,2.9846291000466283,True
793,0.26055873842813526,0.4145944938896778,6.106689627749129,True
795,0.2351993253842873,0.35249221805673114,6.371908626790878,True
798,0.358234026617593,0.5846135486970915,4.555455647969092,True
799,0.5773575557083133,0.9858996852431501,2.9576155285249794,True
811,0.19024277301844136,0.2918664916595001,8.064099967683925,True
819,0.6389627977360531,1.0305933193549728,2.524265973442749,True
820,0.3220931006178378,0.4678252562340659,4.509377916648223,True
826,0.2324229317096248,0.3336912129660187,6.177016783405452,True
855,0.5177857484879256,0.6613782760274973,2.46688054732076,True
859,1.9004021328365144,1.4393660373804207,0.39854752133283766,False
864,0.25534257877693584,0.6189683425814628,9.493258268372257,True
879,0.17548772747847047,0.261020682447293,8.475538845615665,True
895,0.6840560943786259,0.9106464905311837,1.946101364761455,True
908,3.921810994503473,0.45412614734912715,0.029525901084810402,False
910,0.2431003423335895,0.34209206049613605,5.7884795775385856,True
924,0.43542777383863457,0.7096220402909718,3.742764925965531,True
925,0.2953387128365911,0.4063432780385963,4.658513359253694,True
926,0.30041144427414057,0.4228530849247885,4.6854547130921125,True
928,0.18288785459492718,0.29027151334088797,8.678041095596171,True
941,0.8023835650634921,0.9047130696968263,1.405225883018131,False
966,0.5792914597784515,0.7176541076256692,2.1385510845186966,True
998,0.17086890048666797,0.24048516535348613,8.236588459994875,True
1006,0.21467756126094803,0.39698789238018206,8.613795006015552,True
1010,0.701549751621597,1.0993001967900582,2.233564368985819,True
1020,0.17546606064746442,0.24788148728013384,8.050887087753233,True
1023,0.17092604114379117,0.23666522206865986,8.100337429687292,True
1028,0.34741227852895895,0.5650167354055833,4.681309835188472,True
1029,0.6146971142642115,0.798920846571899,2.1143664334628234,True
1036,0.1453549987429108,0.17267872908418025,8.172564283763126,True
1038,0.43337872659641485,0.7043268664237243,3.7500474604098626,True
1057,0.7034778703638112,0.8035634614119235,1.623747228947505,False
1109,1.630532731632887,2.205813708080483,0.8296780973070303,False
1131,0.4081858494695819,0.5050900687949627,3.0314494649092913,True
1136,0.31205497094097934,0.48684434090123896,4.999464120803719,True
1156,0.19116242777413273,0.3215515302213504,8.799006154791053,True
1162,0.4407669212212999,0.6000443213668925,3.088610237022579,True
1170,0.20017504919975543,0.38125330893939696,9.514432635894618,True
1184,0.5685887768913338,0.5666695958955764,1.7527985370338324,True
1201,0.20859377882917754,0.35314340412707246,8.115932279191744,True
1213,0.20685551817168968,0.3527569155094887,8.243870582713571,True
1241,0.27836872188740325,0.47839519425181853,6.173626236523264,True
1251,0.20519519292747207,0.34259966461391356,8.13658665821679,True
1259,0.2471589430388711,0.36785926153027393,6.021738982758595,True
1264,0.18768381631481051,0.3248801422881302,9.222680982062052,True
1287,0.4167229623397853,0.7549375335269222,4.347240365704936,True
1306,0.2875424308893123,0.4865665904770775,5.884819582775481,True
1313,0.7753747249940595,0.9368811312380246,1.558333796993898,False
1329,0.3176650422904283,0.9547464099155851,9.461170738857781,True
1332,0.2610858586138959,0.417643856197887,6.126790454402402,True
1362,3.223019153203992,1.1430777708557365,0.11003984365452192,False
1364,0.2182634185989522,0.41066488872433865,8.620184282410108,True
1367,0.2638177802671372,0.4129135571884347,5.932596055015398,True
1421,0.18847133211015732,0.3039690668226875,8.557099144009264,True
1478,0.43623961860467614,0.5608756487885832,2.947230431636137,True
1498,0.21956928428088454,0.4142024865729661,8.591332377024738,True
1505,0.17637457719838062,0.2560067618921827,8.229349448408573,True
1508,0.20484145019760025,0.34635648029518706,8.254243643604655,True
1538,0.3030538337374409,0.434059704481611,4.7261247060375,True
1546,0.7644776927145864,0.9758882085020592,1.669820132007069,True
1550,0.22291688495353038,0.2934184326944737,5.904630454165612,True
1561,0.4323288830031775,0.7080711743834535,3.788315050415818,True
1562,0.7937474877757666,1.1844868002690432,1.8800301260375003,True
1564,0.7870322676673378,0.9755401463956653,1.5749231565913129,False
1577,0.1929375868215499,0.30797250747490923,8.273068074065444,True
1580,0.3056290183209889,0.5521220542664872,5.910732061578771,True
1607,0.20720496889124235,0.3535401812033183,8.234331239636429,True
1611,0.6567752300702636,0.7638775229023949,1.770880247471489,True
1612,0.25481120350345604,0.40397156148525315,6.221671345202048,True
1627,0.24825417967522923,0.3760118840999248,6.101005075879857,True
1632,0.15934393039637107,0.21099821887636833,8.309801205636308,True
1635,0.5457668906125214,0.9047413439754308,3.037446296027393,True
1717,0.1837717314487215,0.30147004616216055,8.926349636534402,True
1722,1.407891494641618,1.3548431889515753,0.6835187661864025,False
1727,0.8146307821198786,0.9310097335869616,1.402916858087047,False
1735,0.2368915501723561,0.3242812004551446,5.778497016070979,True
1828,0.30511733644967975,0.43031452796548814,4.622187669710372,True
1831,0.4205248902452704,0.6484940272925427,3.6670777024647543,True
1841,0.8460647543038667,1.1177829006823015,1.5615275402018414,False
1842,0.40885700673047354,0.6188630654254723,3.702107935819881,True
1845,1.2579665216168672,1.4403148391510405,0.9101626173934967,False
1849,0.24566333069153312,0.36809076742781444,6.0991182973045674,True
1857,0.4167856479473638,0.6254167254405657,3.600323126028984,True
1862,0.33091062709685787,0.5354563038339655,4.889884943166464,True
1867,0.47729725139410084,0.5791219754345688,2.5420861931774215,True
1870,0.23239209681818435,0.44119254499189703,8.169160238921823,True
1876,0.28949837847572674,0.37588270619851855,4.484921975415323,True
1887,0.27771341911263275,0.4540082825720169,5.886598481887523,True
1900,1.2498954364061219,1.653323912267297,1.0583036751883783,False
1902,1.2056058564071643,1.8935823665665745,1.3027863632137475,False
1955,1.0794147003619383,3.798156659368802,3.2598366960443945,True
1957,0.7903768136580065,2.479208676081569,3.9686610154627333,True
1962,2.076844038306594,2.416437528647311,0.5602317305751312,False
1964,2.568963774145656,2.4434523997933173,0.3702438530689579,False
1972,0.24755072095735312,0.3829289213222424,6.248599511846623,True
1974,0.42688812117336994,0.578673075245206,3.1754315284011163,True
1979,0.22810029177869037,0.3239088358626705,6.225335570949829,True
1986,0.8163409105994734,0.876164670894924,1.314746316126207,False
1989,4.222709074185772,0.35398227102692914,0.019851766753367844,False
1991,0.7986496059395145,1.167253663775883,1.8300038418007998,True
1993,0.4536280402996494,0.6443633805042355,3.131330851408566,True
1994,0.22354046956736567,0.4173385804746666,8.351558466513989,True
1995,0.1499553033826796,0.18435034674726242,8.197869227001712,True
2007,0.2746853643125837,0.4439693326569581,5.884047581620642,True
2010,0.2450229713517607,0.3545513277684362,5.905521812563524,True
2012,0.4379809691488501,0.9107907252809118,4.747946919158714,True
2030,0.2952554199776058,0.3879750890624255,4.4504415579876015,True
2044,0.21010839656152372,0.37346859406399546,8.459748111578653,True
2056,0.2513229567395523,0.38865210026284375,6.153041190775811,True
2058,0.2153333781201561,0.2723223683418295,5.8728815565350105,True
2061,1.2776573775620592,1.3135812013134982,0.8046885921401444,False
2063,0.38780033396346725,0.7004995615937533,4.657883505286186,True
2077,0.3486750127865006,0.5882656123504535,4.83869489873775,True
2087,0.33977909285298785,0.4152431110833784,3.5967095611678515,True
2104,0.25691468961032504,0.3820725470826242,5.788437930316835,True
2128,0.26179688736600104,0.44229856601039685,6.453275963678455,True
2146,0.24580555336808876,0.367301156781303,6.0789941766710776,True
